# no y_p (polarization efficiency) factor has been applied here
# the best-fit y_p = 1.005842680
# this should be applied to TE and to EE (squared) for any comparison to ACT data
# columns (all units are uK^2):
# [ell]   [D_ell^TT]      [D_ell^TE]    [D_ell^EE]
2.000000000000000000e+00 1.045020365040926890e+03 2.444332714590580213e+00 3.184481559432057740e-02
3.000000000000000000e+00 9.774637982971877364e+02 2.919212724845117179e+00 4.502224597036890569e-02
4.000000000000000000e+00 9.169558569996896722e+02 2.853833882212999384e+00 4.302679597214086743e-02
5.000000000000000000e+00 8.719488599705689467e+02 2.523166937168550561e+00 3.183445192416151093e-02
6.000000000000000000e+00 8.405677873484527254e+02 2.098535800902802340e+00 1.945244590662792081e-02
7.000000000000000000e+00 8.197539052542236959e+02 1.686300886704516389e+00 1.071612498637645496e-02
8.000000000000000000e+00 8.071874010642803796e+02 1.341105015268801326e+00 6.348948240571857665e-03
9.000000000000000000e+00 8.005408270634055725e+02 1.085552264019609137e+00 4.765715083884197560e-03
1.000000000000000000e+01 7.982180722157427226e+02 9.216025138472786482e-01 4.175490031448316625e-03
1.100000000000000000e+01 7.995128179543755778e+02 8.375789307136237705e-01 3.653332241426835575e-03
1.200000000000000000e+01 8.032939166418764216e+02 8.150217956846372847e-01 3.103325617417523451e-03
1.300000000000000000e+01 8.093084917992739520e+02 8.341979178504500547e-01 2.733381963954836531e-03
1.400000000000000000e+01 8.167408022857907781e+02 8.779359691166703783e-01 2.647919994994394483e-03
1.500000000000000000e+01 8.256560225895195799e+02 9.330620468854348148e-01 2.772686816284580628e-03
1.600000000000000000e+01 8.355977997157318669e+02 9.903545282628226643e-01 2.985924851035686844e-03
1.700000000000000000e+01 8.462074274821236486e+02 1.045877674391952450e+00 3.241348638049926061e-03
1.800000000000000000e+01 8.577792345263046627e+02 1.098924295691667385e+00 3.584392033646045198e-03
1.900000000000000000e+01 8.702730828056400014e+02 1.150841474366879336e+00 4.067425650756396199e-03
2.000000000000000000e+01 8.831012173903524172e+02 1.203666147264983222e+00 4.733166372484877600e-03
2.100000000000000000e+01 8.964192988650805773e+02 1.258903840245860550e+00 5.571669078747631260e-03
2.200000000000000000e+01 9.103752317976551467e+02 1.317620969280952181e+00 6.551383836698684328e-03
2.300000000000000000e+01 9.248516753504493408e+02 1.379383468271710766e+00 7.667512742441420434e-03
2.400000000000000000e+01 9.395128554020353704e+02 1.442667085176769781e+00 8.921655282672852696e-03
2.500000000000000000e+01 9.544192073383737807e+02 1.504620211906624982e+00 1.031342248542143313e-02
