# no y_p (polarization efficiency) factor has been applied here
# the best-fit y_p = 1.001913951
# this should be applied to TE and to EE (squared) for any comparison to ACT data
# columns (all units are uK^2):
# [ell]   [D_ell^TT]      [D_ell^TE]    [D_ell^EE]
2.000000000000000000e+00 1.001794225439693037e+03 2.638926514528989742e+00 3.398174074407938478e-02
3.000000000000000000e+00 9.470656870431935204e+02 3.071469395249728951e+00 4.681615189427759671e-02
4.000000000000000000e+00 8.952482261920735027e+02 2.954216362645299743e+00 4.364325881262341722e-02
5.000000000000000000e+00 8.562578675397011239e+02 2.578821707286619080e+00 3.146338367602698194e-02
6.000000000000000000e+00 8.293536570709095486e+02 2.120900098102928233e+00 1.876320540942682039e-02
7.000000000000000000e+00 8.116800371466176784e+02 1.688275734854632892e+00 1.021273081338514715e-02
8.000000000000000000e+00 8.013760612955054512e+02 1.334562497436176276e+00 6.130916703351698208e-03
9.000000000000000000e+00 7.966851134292530787e+02 1.079703721106153980e+00 4.684523151852813642e-03
1.000000000000000000e+01 7.957380761533735267e+02 9.223914508492557784e-01 4.086489477176710912e-03
1.100000000000000000e+01 7.982107945446479107e+02 8.476209103360603514e-01 3.533511757436815989e-03
1.200000000000000000e+01 8.028895433674961168e+02 8.341817509954793097e-01 3.010358067776236317e-03
1.300000000000000000e+01 8.093360345016083102e+02 8.612881621513064356e-01 2.713533367921211036e-03
1.400000000000000000e+01 8.174355452713410841e+02 9.111304548358105659e-01 2.694414960598007832e-03
1.500000000000000000e+01 8.268959596127076566e+02 9.705163978031260408e-01 2.851421268094237599e-03
1.600000000000000000e+01 8.370166718629012621e+02 1.031499498894568934e+00 3.079631026749344701e-03
1.700000000000000000e+01 8.482036496548173545e+02 1.090486519726094228e+00 3.366465936332919962e-03
1.800000000000000000e+01 8.599600873683012878e+02 1.147552492194142681e+00 3.774257950237018891e-03
1.900000000000000000e+01 8.723602566622582799e+02 1.204669527913561300e+00 4.345595461984552016e-03
2.000000000000000000e+01 8.853777513562183685e+02 1.264303303621453267e+00 5.104737312558452894e-03
2.100000000000000000e+01 8.989599669602492895e+02 1.327698187100725402e+00 6.037627461872052161e-03
2.200000000000000000e+01 9.128415214259252934e+02 1.395257663037691387e+00 7.114308627238812716e-03
2.300000000000000000e+01 9.271264714693689939e+02 1.465667692231831909e+00 8.334845017544237344e-03
2.400000000000000000e+01 9.418664864693442951e+02 1.536534898503267854e+00 9.706228525324751485e-03
2.500000000000000000e+01 9.569905903575618140e+02 1.605200673489169727e+00 1.122596099082549467e-02
2.600000000000000000e+01 9.722984063751908934e+02 1.668668861661349645e+00 1.288829975892869135e-02
2.700000000000000000e+01 9.878392019088104234e+02 1.724742749631329675e+00 1.469659562580022394e-02
2.800000000000000000e+01 1.003666512497533631e+03 1.771665168452598804e+00 1.665845079458815395e-02
2.900000000000000000e+01 1.019835542376036187e+03 1.809341444103149454e+00 1.878814858509469249e-02
3.000000000000000000e+01 1.036309182385923350e+03 1.838457040223834715e+00 2.110393472000564319e-02
3.100000000000000000e+01 1.052975053134480504e+03 1.859909145284792897e+00 2.362403951471062774e-02
3.200000000000000000e+01 1.069861726928822009e+03 1.874057044250405868e+00 2.635641427895388939e-02
3.300000000000000000e+01 1.086984634853658690e+03 1.881217052200926609e+00 2.930506418668448604e-02
3.400000000000000000e+01 1.104306634441908272e+03 1.881631948634647111e+00 3.247343201549678787e-02
3.500000000000000000e+01 1.121828567960834562e+03 1.874657294535314378e+00 3.586736575756162976e-02
3.600000000000000000e+01 1.139517564215807852e+03 1.859278115268266030e+00 3.949309247716255994e-02
3.700000000000000000e+01 1.157313222075106296e+03 1.834432838890956097e+00 4.335643207124608572e-02
3.800000000000000000e+01 1.175254207839652508e+03 1.799434368929587968e+00 4.746290253611466781e-02
3.900000000000000000e+01 1.193385358386714415e+03 1.753677619032461665e+00 5.181759251448615072e-02
4.000000000000000000e+01 1.211719062471946017e+03 1.696523496616709759e+00 5.642509139118804390e-02
4.100000000000000000e+01 1.230246276725908274e+03 1.627440581387382235e+00 6.128971162742952866e-02
4.200000000000000000e+01 1.248982777652616051e+03 1.546491628512772554e+00 6.641632118816059860e-02
4.300000000000000000e+01 1.267931740964380651e+03 1.454001238906129867e+00 7.180972722068612590e-02
4.400000000000000000e+01 1.287067688521376112e+03 1.350432636004450737e+00 7.747442970226574299e-02
4.500000000000000000e+01 1.306353644757435177e+03 1.236221614003327529e+00 8.341456930928131674e-02
4.600000000000000000e+01 1.325805062033103923e+03 1.111201749845353914e+00 8.963378810953502585e-02
4.700000000000000000e+01 1.345440430134170356e+03 9.750199371969295870e-01 9.613530147430457418e-02
4.800000000000000000e+01 1.365261581545181798e+03 8.272923947033783421e-01 1.029219146377355898e-01
4.900000000000000000e+01 1.385252144140998098e+03 6.676020751919149454e-01 1.099960054296054285e-01
5.000000000000000000e+01 1.405390107773447653e+03 4.955414440956764088e-01 1.173593730714316691e-01
5.100000000000000000e+01 1.425693135094633817e+03 3.108605144706286239e-01 1.250127762395409348e-01
