# no y_p (polarization efficiency) factor has been applied here
# the best-fit y_p = 9.951140073e-01
# this should be applied to TE and to EE (squared) for any comparison to ACT data
# columns (all units are uK^2):
# [ell]	  [D_ell^TT]      [D_ell^TE]	[D_ell^EE]
2.000000000000000000e+00 7.238111887291909170e+02 1.556685046379385318e+00 2.095778024769547748e-02
3.000000000000000000e+00 6.894182347696248598e+02 1.929083072495505258e+00 3.077180159591537054e-02
4.000000000000000000e+00 6.569897219444632128e+02 1.939382178613170860e+00 3.030670424130871288e-02
5.000000000000000000e+00 6.335649124999549713e+02 1.754854549106527273e+00 2.302766788813848456e-02
6.000000000000000000e+00 6.187991306131586953e+02 1.489689317947737734e+00 1.441611749150262765e-02
7.000000000000000000e+00 6.105764631777195746e+02 1.220038895872457063e+00 8.095729731280035951e-03
8.000000000000000000e+00 6.075739239108951324e+02 9.880323665837233982e-01 4.839096888166390456e-03
9.000000000000000000e+00 6.086269395284892880e+02 8.133720119367123802e-01 3.648065406363962260e-03
1.000000000000000000e+01 6.123973696020312900e+02 7.010491228516939621e-01 3.239153344238791376e-03
1.100000000000000000e+01 6.187700457988479457e+02 6.455596101009630772e-01 2.895484331089806431e-03
1.200000000000000000e+01 6.268221493557334725e+02 6.352531522734893299e-01 2.516627176850911533e-03
1.300000000000000000e+01 6.361424970796452953e+02 6.569151894602394126e-01 2.259182905398763111e-03
1.400000000000000000e+01 6.466845329862251219e+02 6.979725533532278314e-01 2.219501128251187907e-03
1.500000000000000000e+01 6.579624641782788785e+02 7.482211319422605866e-01 2.354075836019886743e-03
1.600000000000000000e+01 6.703665521949615140e+02 8.008532226790449071e-01 2.569210260748112495e-03
1.700000000000000000e+01 6.832374648993938990e+02 8.523061768262790716e-01 2.821416276325317430e-03
1.800000000000000000e+01 6.964983417249588911e+02 9.013776037896742421e-01 3.142471825894713276e-03
1.900000000000000000e+01 7.103539337973785450e+02 9.491203309629009377e-01 3.579100966114941509e-03
2.000000000000000000e+01 7.247026756098829310e+02 9.974160855906987200e-01 4.174002423531374475e-03
2.100000000000000000e+01 7.394742854406046035e+02 1.047659498339933215e+00 4.923855507000098573e-03
2.200000000000000000e+01 7.544550193881873383e+02 1.100858319426085696e+00 5.806262980088021559e-03
2.300000000000000000e+01 7.696976639161615594e+02 1.156471682805890522e+00 6.816567209752262373e-03
2.400000000000000000e+01 7.852264928187809119e+02 1.213075459102431752e+00 7.954658015204060101e-03
2.500000000000000000e+01 8.010431637388550143e+02 1.268816611737071831e+00 9.224855541690632141e-03
2.600000000000000000e+01 8.170692853353370992e+02 1.321494051711160855e+00 1.063106728263740405e-02
2.700000000000000000e+01 8.333280847523107013e+02 1.369436951206467024e+00 1.217123758095476141e-02
2.800000000000000000e+01 8.498186493723328567e+02 1.411140980023092073e+00 1.384277747385701494e-02
2.900000000000000000e+01 8.665631184213401639e+02 1.445802331488503789e+00 1.565600981427206148e-02
3.000000000000000000e+01 8.835191993544982552e+02 1.472859661639997375e+00 1.762690648322275469e-02
3.100000000000000000e+01 9.005900544846018647e+02 1.491966593821239195e+00 1.977205128034086393e-02
3.200000000000000000e+01 9.178014001357389589e+02 1.503556770374970375e+00 2.210130065525260298e-02
3.300000000000000000e+01 9.351768297057427617e+02 1.508526560358968371e+00 2.462239981207667988e-02
3.400000000000000000e+01 9.527037165035542330e+02 1.507779513392425885e+00 2.734246472622522614e-02
3.500000000000000000e+01 9.703979844205616700e+02 1.501064006784311067e+00 3.026666993992765953e-02
3.600000000000000000e+01 9.882526690376730585e+02 1.487729120600911115e+00 3.339899488241616921e-02
3.700000000000000000e+01 1.006239619672112553e+03 1.467036337271353963e+00 3.674316831613328588e-02
3.800000000000000000e+01 1.024391024561483164e+03 1.438206879059029664e+00 4.030497046168605990e-02
3.900000000000000000e+01 1.042738607101392063e+03 1.400377466491355083e+00 4.409063288494560751e-02
4.000000000000000000e+01 1.061288018239395569e+03 1.352578723133422089e+00 4.810620335843306811e-02
4.100000000000000000e+01 1.080024065047098475e+03 1.293944282801153811e+00 5.235728312182677535e-02
4.200000000000000000e+01 1.098935563380304984e+03 1.224436533833158647e+00 5.684817150183101020e-02
4.300000000000000000e+01 1.117993590481675483e+03 1.144345538626986958e+00 6.158241783758416216e-02
4.400000000000000000e+01 1.137141637905001744e+03 1.054101249117687100e+00 6.656301402049027982e-02
4.500000000000000000e+01 1.156321189798566593e+03 9.541283474309837365e-01 7.179276021008351716e-02
4.600000000000000000e+01 1.175563227671967297e+03 8.443402512549456063e-01 7.727556757109128871e-02
4.700000000000000000e+01 1.194920002702800730e+03 7.245073825454774186e-01 8.301549071344199726e-02
4.800000000000000000e+01 1.214438667844996871e+03 5.943963250686611355e-01 8.901635509076998021e-02
4.900000000000000000e+01 1.234160490927038836e+03 4.537689695656106359e-01 9.528174798466830520e-02
5.000000000000000000e+01 1.254115551529425375e+03 3.023778001170487340e-01 1.018148051479923349e-01
5.100000000000000000e+01 1.274306960229988817e+03 1.399522280912525174e-01 1.086175233771607407e-01
5.200000000000000000e+01 1.294720995643138167e+03 -3.379292893419444388e-02 1.156912457611048578e-01
5.300000000000000000e+01 1.315330270539540152e+03 -2.191549244223664761e-01 1.230368315239525334e-01
5.400000000000000000e+01 1.336092732416301942e+03 -4.164441193027422772e-01 1.306546373932365446e-01
5.500000000000000000e+01 1.356966903360132847e+03 -6.259438689443285186e-01 1.385446858539051140e-01
5.600000000000000000e+01 1.377964322654403986e+03 -8.477761404736795514e-01 1.467072615407156999e-01
5.700000000000000000e+01 1.399108381461713179e+03 -1.082004327294830315e+00 1.551424303674688865e-01
5.800000000000000000e+01 1.420418866205321592e+03 -1.328670919216047297e+00 1.638498545183107724e-01
5.900000000000000000e+01 1.441911591839065750e+03 -1.587796935650150232e+00 1.728287810972063132e-01
6.000000000000000000e+01 1.463598035117267273e+03 -1.859381358814830687e+00 1.820780307774124973e-01
6.100000000000000000e+01 1.485486254986908079e+03 -2.143396661185938523e+00 1.915959425152445328e-01
6.200000000000000000e+01 1.507584724830174764e+03 -2.439775496998461080e+00 2.013802188683085359e-01
6.300000000000000000e+01 1.529898713555533277e+03 -2.748420004119149773e+00 2.114280256575645778e-01
6.400000000000000000e+01 1.552428754944278580e+03 -3.069204769149236789e+00 2.217360203471331614e-01
6.500000000000000000e+01 1.575170321759863555e+03 -3.401976136698344977e+00 2.323003392997212979e-01
6.600000000000000000e+01 1.598113499857223815e+03 -3.746551518658422175e+00 2.431165850320492761e-01
6.700000000000000000e+01 1.621242662292103887e+03 -4.102718703477653328e+00 2.541798134702772383e-01
6.800000000000000000e+01 1.644542977838218121e+03 -4.470274416584189225e+00 2.654845980325670762e-01
6.900000000000000000e+01 1.668022196416034603e+03 -4.849150618674167745e+00 2.770252654428889127e-01
7.000000000000000000e+01 1.691692712803401037e+03 -5.239312675513931872e+00 2.887956850239438156e-01
7.100000000000000000e+01 1.715564974414418884e+03 -5.640722678627737352e+00 3.007891855113414836e-01
7.200000000000000000e+01 1.739647330201808472e+03 -6.053339758437402907e+00 3.129985442739155466e-01
7.300000000000000000e+01 1.763945879559276818e+03 -6.477120397401959551e+00 3.254159765340381982e-01
7.400000000000000000e+01 1.788464321223879324e+03 -6.912018743157281264e+00 3.380331245879352187e-01
7.500000000000000000e+01 1.813203802178389878e+03 -7.357986921655737866e+00 3.508410470260011071e-01
7.600000000000000000e+01 1.838164415056649887e+03 -7.814935229539186956e+00 3.638305699556981798e-01
7.700000000000000000e+01 1.863350339608147578e+03 -8.282603638501441878e+00 3.769934384406962158e-01
7.800000000000000000e+01 1.888765368646387287e+03 -8.760667319173848000e+00 3.903213564232266841e-01
7.900000000000000000e+01 1.914411227325276514e+03 -9.248774181838907538e+00 4.038056400465793727e-01
8.000000000000000000e+01 1.940287455845382965e+03 -9.746544366861099817e+00 4.174372142985735001e-01
8.100000000000000000e+01 1.966391292160189778e+03 -1.025356973511771663e+01 4.312066096550285499e-01
8.200000000000000000e+01 1.992717554682346645e+03 -1.076941335842968073e+01 4.451039587232354933e-01
8.300000000000000000e+01 2.019258524989932312e+03 -1.129360900999238559e+01 4.591189928854284008e-01
8.400000000000000000e+01 2.046006871836713572e+03 -1.182570037638143745e+01 4.732410868934717185e-01
8.500000000000000000e+01 2.072965237066449845e+03 -1.236536727872253927e+01 4.874594084995481635e-01
8.600000000000000000e+01 2.100138031176566528e+03 -1.291231953933776921e+01 5.017627875923734715e-01
8.700000000000000000e+01 2.127528468103037540e+03 -1.346625927631509789e+01 5.161396679384500086e-01
8.800000000000000000e+01 2.155138499040989245e+03 -1.402688106152870162e+01 5.305781046314409499e-01
8.900000000000000000e+01 2.182968746265308710e+03 -1.459387207865925618e+01 5.450657615415434032e-01
9.000000000000000000e+01 2.211018436951254444e+03 -1.516691228121430335e+01 5.595899087648632531e-01
9.100000000000000000e+01 2.239285336995062153e+03 -1.574567455054853582e+01 5.741374200727881183e-01
9.200000000000000000e+01 2.267765684834552758e+03 -1.632982485388414062e+01 5.886947703613621963e-01
9.300000000000000000e+01 2.296455594808413025e+03 -1.691901150382870611e+01 6.032483631180470818e-01
9.400000000000000000e+01 2.325355652416673820e+03 -1.751283074587721700e+01 6.177855747004443732e-01
9.500000000000000000e+01 2.354466891044508884e+03 -1.811085626334910970e+01 6.322938631321222136e-01
9.600000000000000000e+01 2.383789338613643395e+03 -1.871264962303636992e+01 6.467604540324879414e-01
9.700000000000000000e+01 2.413321971575079715e+03 -1.931776028362189024e+01 6.611723425962562350e-01
9.800000000000000000e+01 2.443062668901823599e+03 -1.992572560409785254e+01 6.755162955729188123e-01
9.900000000000000000e+01 2.473008166081604031e+03 -2.053607085218405359e+01 6.897788532462106881e-01
1.000000000000000000e+02 2.503154009109603066e+03 -2.114830921274632658e+01 7.039463314135812055e-01
1.010000000000000000e+02 2.533494508481175671e+03 -2.176194179621485958e+01 7.180048233656606271e-01
1.020000000000000000e+02 2.564022693184574564e+03 -2.237645764700259932e+01 7.319402018657291675e-01
1.030000000000000000e+02 2.594730264693676872e+03 -2.299133375192358386e+01 7.457381211291855827e-01
1.040000000000000000e+02 2.625609284690681761e+03 -2.360604683266310388e+01 7.593843756887316276e-01
1.050000000000000000e+02 2.656657596976445802e+03 -2.422011051928231140e+01 7.728660279364815144e-01
1.060000000000000000e+02 2.687874055620128274e+03 -2.483304323738347819e+01 7.861704372957193376e-01
1.070000000000000000e+02 2.719256830003244431e+03 -2.544435700872965000e+01 7.992849227667553347e-01
1.080000000000000000e+02 2.750803377864362119e+03 -2.605355758915812103e+01 8.121967688282141218e-01
1.090000000000000000e+02 2.782510418343812944e+03 -2.666014460649388340e+01 8.248932313383273707e-01
1.100000000000000000e+02 2.814373905028384343e+03 -2.726361169846302346e+01 8.373615434362197130e-01
1.110000000000000000e+02 2.846388998996028022e+03 -2.786344665060619619e+01 8.495889214432008618e-01
1.120000000000000000e+02 2.878550041860558849e+03 -2.845913153419206409e+01 8.615625707640537367e-01
1.130000000000000000e+02 2.910850528816361020e+03 -2.905014284413074321e+01 8.732696917883244758e-01
1.140000000000000000e+02 2.943283081683084220e+03 -2.963595163688719936e+01 8.846974857916121149e-01
1.150000000000000000e+02 2.975839421950349788e+03 -3.021602366839477227e+01 8.958331608368579335e-01
1.160000000000000000e+02 3.008511415810329254e+03 -3.078982512630653190e+01 9.066643147173715223e-01
1.170000000000000000e+02 3.041294411026471153e+03 -3.135684032255558407e+01 9.171801239890859936e-01
1.180000000000000000e+02 3.074184257035474729e+03 -3.191655642087060940e+01 9.273703112568797424e-01
1.190000000000000000e+02 3.107176251973529361e+03 -3.246845822024995698e+01 9.372247902025849786e-01
1.200000000000000000e+02 3.140265125199251997e+03 -3.301202834233874484e+01 9.467336748199789431e-01
1.210000000000000000e+02 3.173445019816610966e+03 -3.354674741880587163e+01 9.558872886497770116e-01
1.220000000000000000e+02 3.206709475197869779e+03 -3.407209427872125218e+01 9.646761740146247988e-01
1.230000000000000000e+02 3.240051409506511845e+03 -3.458754613593274740e+01 9.730911012540880423e-01
1.240000000000000000e+02 3.273463102220177461e+03 -3.509257877644332524e+01 9.811230779596474827e-01
1.250000000000000000e+02 3.306936176653593066e+03 -3.558666674578814337e+01 9.887633582096878593e-01
1.260000000000000000e+02 3.340461582481502319e+03 -3.606928353641158225e+01 9.960034518044907914e-01
1.270000000000000000e+02 3.374029578261608549e+03 -3.653990177504441306e+01 1.002835133501228215e+00
1.280000000000000000e+02 3.407629713957494459e+03 -3.699799341008080233e+01 1.009250452248952046e+00
1.290000000000000000e+02 3.441251836240886405e+03 -3.744303768020584045e+01 1.015242073988808169e+00
1.300000000000000000e+02 3.474889266208902882e+03 -3.787454561064007663e+01 1.020804332957122362e+00
1.310000000000000000e+02 3.508535938861017712e+03 -3.829203857077497020e+01 1.025932313700575138e+00
1.320000000000000000e+02 3.542185401509461371e+03 -3.869504097447439506e+01 1.030621539356604943e+00
1.330000000000000000e+02 3.575830803620787265e+03 -3.908308052313157077e+01 1.034867983275273851e+00
1.340000000000000000e+02 3.609464886657445277e+03 -3.945568844872592962e+01 1.038668080641128366e+00
1.350000000000000000e+02 3.643079973919339864e+03 -3.981239975687989840e+01 1.042018740095063123e+00
1.360000000000000000e+02 3.676667960385409060e+03 -4.015275346991594319e+01 1.044917355356184352e+00
1.370000000000000000e+02 3.710220302555183480e+03 -4.047629286991323028e+01 1.047361816843670468e+00
1.380000000000000000e+02 3.743728008290365324e+03 -4.078256574176470650e+01 1.049350523298638427e+00
1.390000000000000000e+02 3.777181626656384196e+03 -4.107112461623379573e+01 1.050882393406003423e+00
1.400000000000000000e+02 3.810571237763972931e+03 -4.134152701301138677e+01 1.051956877416343694e+00
1.410000000000000000e+02 3.843886442610736140e+03 -4.159333568377267198e+01 1.052573968767762880e+00
1.420000000000000000e+02 3.877116352922714213e+03 -4.182611885523397177e+01 1.052734215707751941e+00
1.430000000000000000e+02 3.910249580995955967e+03 -4.203945047220970110e+01 1.052438732915053965e+00
1.440000000000000000e+02 3.943275087295329286e+03 -4.223291595776091611e+01 1.051689372551185553e+00
1.450000000000000000e+02 3.976184838874198249e+03 -4.240612962053756263e+01 1.050489231885686880e+00
1.460000000000000000e+02 4.008971394948711804e+03 -4.255871943359645115e+01 1.048842218041534879e+00
1.470000000000000000e+02 4.041627067491882826e+03 -4.269032194374085520e+01 1.046752905486395768e+00
1.480000000000000000e+02 4.074143916004777566e+03 -4.280058254628482928e+01 1.044226548570751367e+00
1.490000000000000000e+02 4.106513742287742389e+03 -4.288915575981754813e+01 1.041269094066023859e+00
1.500000000000000000e+02 4.138728085211600956e+03 -4.295570550096756790e+01 1.037887193702701660e+00
1.510000000000000000e+02 4.170778215488860951e+03 -4.299990535916712275e+01 1.034088216708463959e+00
1.520000000000000000e+02 4.202655130444926726e+03 -4.302143887141647838e+01 1.029880262346306585e+00
1.530000000000000000e+02 4.234349548789304208e+03 -4.301999979704809363e+01 1.025272172452666553e+00
1.540000000000000000e+02 4.265851905386807630e+03 -4.299529239249109480e+01 1.020273543975548147e+00
1.550000000000000000e+02 4.297152346028770808e+03 -4.294703168603543020e+01 1.014894741512648801e+00
1.560000000000000000e+02 4.328240722204246595e+03 -4.287494375259619517e+01 1.009146909849481855e+00
1.570000000000000000e+02 4.359106585871228162e+03 -4.277876598847800693e+01 1.003041986497505089e+00
1.580000000000000000e+02 4.389739184227838450e+03 -4.265824738613916622e+01 9.965927142322432708e-01
1.590000000000000000e+02 4.420127454483555994e+03 -4.251314880895610315e+01 9.898126536314150181e-01
1.600000000000000000e+02 4.450260018630406194e+03 -4.234324326598754595e+01 9.827161956130578968e-01
1.610000000000000000e+02 4.480125920334347938e+03 -4.214831731061757836e+01 9.753183079248869403e-01
1.620000000000000000e+02 4.509716919818025417e+03 -4.192817479864575603e+01 9.676337230964925373e-01
1.630000000000000000e+02 4.539025392872355951e+03 -4.168263398919940244e+01 9.596777023035875098e-01
1.640000000000000000e+02 4.568043605189016489e+03 -4.141152672845394989e+01 9.514663061821382328e-01
1.650000000000000000e+02 4.596763710546059883e+03 -4.111469872956806171e+01 9.430164061424333166e-01
1.660000000000000000e+02 4.625177748993518435e+03 -4.079200985261874024e+01 9.343456956831510674e-01
1.670000000000000000e+02 4.653277645039010167e+03 -4.044333438453647034e+01 9.254727017054288352e-01
1.680000000000000000e+02 4.681055205833363289e+03 -4.006856131904032736e+01 9.164167958269300307e-01
1.690000000000000000e+02 4.708502119356201547e+03 -3.966759463657306384e+01 9.071982056959139173e-01
1.700000000000000000e+02 4.735609952601575060e+03 -3.924035358423631692e+01 8.978380263053044041e-01
1.710000000000000000e+02 4.762370149763555673e+03 -3.878677295572563821e+01 8.883582313067556191e-01
1.720000000000000000e+02 4.788774030421851421e+03 -3.830680337126564439e+01 8.787816843247240328e-01
1.730000000000000000e+02 4.814812787727418254e+03 -3.780041155754517490e+01 8.691321502705339208e-01
1.740000000000000000e+02 4.840477486588059037e+03 -3.726758062765234314e+01 8.594343066564474887e-01
1.750000000000000000e+02 4.865759061854045285e+03 -3.670831036100974387e+01 8.497137549097324438e-01
1.760000000000000000e+02 4.890648316503711612e+03 -3.612261748330945466e+01 8.399970316867301223e-01
1.770000000000000000e+02 4.915135919829087470e+03 -3.551053594644829303e+01 8.303116201869253921e-01
1.780000000000000000e+02 4.939212405621476137e+03 -3.487211720846281793e+01 8.206859614670131142e-01
1.790000000000000000e+02 4.962868170357087365e+03 -3.420743051346452290e+01 8.111494657549677134e-01
1.800000000000000000e+02 4.986094065194414725e+03 -3.351655521087065637e+01 8.017315342649674603e-01
1.810000000000000000e+02 5.008883228378436797e+03 -3.279955644560841677e+01 7.924585140585517218e-01
1.820000000000000000e+02 5.031229395345845660e+03 -3.205650806863648228e+01 7.833565222939783412e-01
1.830000000000000000e+02 5.053126318372479545e+03 -3.128750067282478042e+01 7.744524215882284679e-01
1.840000000000000000e+02 5.074567766946102893e+03 -3.049264184356844254e+01 7.657738276865144744e-01
1.850000000000000000e+02 5.095547528139150018e+03 -2.967205640940171207e+01 7.573491171317807691e-01
1.860000000000000000e+02 5.116059406981493339e+03 -2.882588669261180669e+01 7.492074349342100481e-01
1.870000000000000000e+02 5.136097226833202512e+03 -2.795429275985293316e+01 7.413787022407268834e-01
1.880000000000000000e+02 5.155654829757311745e+03 -2.705745267276017785e+01 7.338936240045026427e-01
1.890000000000000000e+02 5.174726076892570745e+03 -2.613556273856342216e+01 7.267836966544589661e-01
1.900000000000000000e+02 5.193304848826214766e+03 -2.518883776070127922e+01 7.200812157647731304e-01
1.910000000000000000e+02 5.211385045966719190e+03 -2.421751128943502351e+01 7.138192837243815259e-01
1.920000000000000000e+02 5.228960588916564120e+03 -2.322183587246249914e+01 7.080318174064842429e-01
1.930000000000000000e+02 5.246025418844997148e+03 -2.220208330553206366e+01 7.027535558380496594e-01
1.940000000000000000e+02 5.262573497860784300e+03 -2.115854488305649994e+01 6.980200678693181393e-01
1.950000000000000000e+02 5.278598809384990091e+03 -2.009153164872698838e+01 6.938677598433076188e-01
1.960000000000000000e+02 5.294095358523716641e+03 -1.900137464612693705e+01 6.903338832653160839e-01
1.970000000000000000e+02 5.309057172440880095e+03 -1.788842516934601079e+01 6.874565424724276008e-01
1.980000000000000000e+02 5.323478300730965202e+03 -1.675305501359398264e+01 6.852747023030159035e-01
1.990000000000000000e+02 5.337352815791789908e+03 -1.559565672581471674e+01 6.838281957662482036e-01
2.000000000000000000e+02 5.350674813197263575e+03 -1.441664385530003401e+01 6.831577317115911097e-01
2.010000000000000000e+02 5.363438817506227679e+03 -1.321643016935732007e+01 6.833030125317645087e-01
2.020000000000000000e+02 5.375641031216980991e+03 -1.199536512466068672e+01 6.842969214875052053e-01
2.030000000000000000e+02 5.387278175849673971e+03 -1.075379426448662556e+01 6.861709344841666613e-01
2.040000000000000000e+02 5.398347096089739352e+03 -9.492080026607681020e+00 6.889569747899580987e-01
2.050000000000000000e+02 5.408844761358918731e+03 -8.210601931737173231e+00 6.926874151196146245e-01
2.060000000000000000e+02 5.418768267386300977e+03 -6.909756771973921907e+00 6.973950797180679118e-01
2.070000000000000000e+02 5.428114837779358822e+03 -5.589958799247011001e+00 7.031132464441195440e-01
2.080000000000000000e+02 5.436881825594983638e+03 -4.251639913760491218e+00 7.098756488541115850e-01
2.090000000000000000e+02 5.445066714910516566e+03 -2.895249852438126048e+00 7.177164782855969261e-01
2.100000000000000000e+02 5.452667122394792386e+03 -1.521256377368128909e+00 7.266703859410135191e-01
2.110000000000000000e+02 5.459680798879166105e+03 -1.301454642478807322e-01 7.367724849713527258e-01
2.120000000000000000e+02 5.466105630928553182e+03 1.277578509171312549e+00 7.480583525598332173e-01
2.130000000000000000e+02 5.471939642412463400e+03 2.701392574639515320e+00 7.605640320055708781e-01
2.140000000000000000e+02 5.477180996076033807e+03 4.140754984963410656e+00 7.743260348072510402e-01
2.150000000000000000e+02 5.481827995111073506e+03 5.595105025561561973e+00 7.893813427468002741e-01
2.160000000000000000e+02 5.485879084727080226e+03 7.063862826019703611e+00 8.057674099730558481e-01
2.170000000000000000e+02 5.489332853722298751e+03 8.546429171645984368e+00 8.235221650854409603e-01
2.180000000000000000e+02 5.492188036054737495e+03 1.004218531502625567e+01 8.426840132176317555e-01
2.190000000000000000e+02 5.494443512413212375e+03 1.155049278757930331e+01 8.632918381212324466e-01
2.200000000000000000e+02 5.496098311788382489e+03 1.307069321111216453e+01 8.853850042494446626e-01
2.210000000000000000e+02 5.497151613043779435e+03 1.460210810937534909e+01 9.090033588407394616e-01
2.220000000000000000e+02 5.497602746486852084e+03 1.614403871961813763e+01 9.341872340025298982e-01
2.230000000000000000e+02 5.497451195439994081e+03 1.769576580414382505e+01 9.609774487948401500e-01
2.240000000000000000e+02 5.496696736610067092e+03 1.925658726516187969e+01 9.894125935142493722e-01
2.250000000000000000e+02 5.495339867969079933e+03 2.082593406646932266e+01 1.019520684249820563e+00
2.260000000000000000e+02 5.493381411428284082e+03 2.240326140103099917e+01 1.051326975729065971e+00
2.270000000000000000e+02 5.490822378403217044e+03 2.398801145980432992e+01 1.084856626521809364e+00
2.280000000000000000e+02 5.487663971715200205e+03 2.557961333330238674e+01 1.120134694652901608e+00
2.290000000000000000e+02 5.483907587492858511e+03 2.717748291315703213e+01 1.157186133214943791e+00
2.300000000000000000e+02 5.479554817073622871e+03 2.878102279368204464e+01 1.196035785981005128e+00
2.310000000000000000e+02 5.474607448905236197e+03 3.038962217343623706e+01 1.236708383017344204e+00
2.320000000000000000e+02 5.469067470447265805e+03 3.200265675678651434e+01 1.279228536296126650e+00
