# no y_p (polarization efficiency) factor has been applied here
# the best-fit y_p = 1.000934985
# this should be applied to TE and to EE (squared) for any comparison to ACT data
# columns (all units are uK^2):
# [ell]	[D_ell^TT]	[D_ell^TE]	[D_ell^EE]
2.000000000000000000e+00 8.380303417568967461e+02 2.097353091154170901e+00 2.758703545782697705e-02
3.000000000000000000e+00 7.966845478067247086e+02 2.505944836772918016e+00 3.941013568699631292e-02
4.000000000000000000e+00 7.567997846945363563e+02 2.457829530127772610e+00 3.800441556992700809e-02
5.000000000000000000e+00 7.270846541477728806e+02 2.181688676045680175e+00 2.834265736171071373e-02
6.000000000000000000e+00 7.070392909586228143e+02 1.821629934972595732e+00 1.743815849548976255e-02
7.000000000000000000e+00 6.944547699484683108e+02 1.469471012465527249e+00 9.653356821266622506e-03
8.000000000000000000e+00 6.879641350084502847e+02 1.173436260710401635e+00 5.726941721673465928e-03
9.000000000000000000e+00 6.861048524105322031e+02 9.543214427325261706e-01 4.301286878190999606e-03
1.000000000000000000e+01 6.874385168906401304e+02 8.147089265004004988e-01 3.785257547307341579e-03
1.100000000000000000e+01 6.915468516203336549e+02 7.448082827502581216e-01 3.336800918687827210e-03
1.200000000000000000e+01 6.974458815903781215e+02 7.287296634265186812e-01 2.857850555643141627e-03
1.300000000000000000e+01 7.048753163811404647e+02 7.497389979386157588e-01 2.534543699872405034e-03
1.400000000000000000e+01 7.137191588738959354e+02 7.926837566044905303e-01 2.467007677550541941e-03
1.500000000000000000e+01 7.237649559621110029e+02 8.454124305886480117e-01 2.593503987350911574e-03
1.600000000000000000e+01 7.341939298827811626e+02 9.001800666099556425e-01 2.804571014295169709e-03
1.700000000000000000e+01 7.455515002995276745e+02 9.534356881088610347e-01 3.056365207048712500e-03
1.800000000000000000e+01 7.574535366975188708e+02 1.004251778687663244e+00 3.389386097358357362e-03
1.900000000000000000e+01 7.699212402740790822e+02 1.054060586324138571e+00 3.853113732819526873e-03
2.000000000000000000e+01 7.828908135398949071e+02 1.105111214447390244e+00 4.489346865919401249e-03
2.100000000000000000e+01 7.963026664311526019e+02 1.158785865014297256e+00 5.291182017553901218e-03
2.200000000000000000e+01 8.099342667178661941e+02 1.215925313085646664e+00 6.231554776883606317e-03
2.300000000000000000e+01 8.239194793514374169e+02 1.276033206814812360e+00 7.305853828697494480e-03
2.400000000000000000e+01 8.383495181307557687e+02 1.337689745958596577e+00 8.514912287773290789e-03
2.500000000000000000e+01 8.531111381304601764e+02 1.398602044799901467e+00 9.860357534665699017e-03
2.600000000000000000e+01 8.679599615403857342e+02 1.455932023843297118e+00 1.134257290855068476e-02
2.700000000000000000e+01 8.829733057389923943e+02 1.507574713845661218e+00 1.296013869172766252e-02
2.800000000000000000e+01 8.982610112549893984e+02 1.551726838375644180e+00 1.471246105259889705e-02
2.900000000000000000e+01 9.138658042175486571e+02 1.587807505455248513e+00 1.661068765711075021e-02
